#{"t_start": 1750331806.7716749, "env_id": "None"}
r,l,t
-2.613221,230,43.987197
0.7095103,124,44.005418
-1.4851288,163,44.08943
-5.7747655,237,44.233579
-3.886753,211,44.280202
3.0452826,124,44.33381
-1.1455355,124,44.387965
-4.5524464,102,44.441042
-5.3799663,295,44.508983
-3.5615106,134,44.509038
-2.3674684,82,44.675149
-1.0050955,66,44.860778
-1.855074,76,44.884752
-3.3520262,87,45.052355
-2.1121738,68,45.207802
-7.1556664,116,45.222664
-2.1053572,61,45.452819
1.9781437,136,45.703539
-5.569228,265,45.91072
-0.76153964,62,45.989228
-3.4764788,92,46.076156
1.1149032,118,46.132126
1.1858302,122,46.279452
-1.9754528,148,46.458743
-2.7183037,91,46.694345
0.8526184,125,46.757029
-3.5503123,130,46.993355
-1.1430985,167,47.211123
1.8047725,133,47.252757
-3.321071,173,47.635991
1.690798,132,47.63606
-2.0561411,71,47.770022
0.57238597,132,47.821576
-1.971482,145,47.861962
0.38424644,114,48.053125
-2.1626177,69,48.241704
-1.8875885,220,48.340583
-3.5044668,69,48.460046
-3.0176003,328,48.460104
0.9985825,124,48.508976
-2.136117,146,48.526232
-2.6009254,77,48.975996
-0.34171325,271,49.120029
0.92509586,92,49.233443
-4.0152035,194,49.587674
-3.6954777,208,49.784742
1.8380958,124,49.930871
-3.7024689,155,50.008048
0.5198608,122,50.209593
-3.5831363,99,50.272808
-1.5374333,78,50.361348
-2.2456427,385,50.374977
-4.783964,113,50.441951
0.021763414,149,50.459659
1.7996864,128,57.390643
-3.9418147,103,57.434387
-0.76505756,269,57.499754
2.0403728,184,57.512655
0.787678,77,57.593309
-4.163801,78,57.796018
-2.7341282,229,58.640373
-5.286122,244,58.846297
-4.4195104,175,59.167329
-0.092378244,425,59.318745
-7.224128,374,59.468321
-1.5703193,183,59.861431
-1.7633053,131,59.861485
-3.171658,195,59.963197
-1.2404963,145,60.175365
-4.6047063,334,60.370145
-5.854811,114,60.923525
-2.6695893,198,61.105337
-4.0182166,424,61.416739
-5.909115,323,61.617453
-3.742839,238,61.747317
