#{"t_start": 1750518619.9899452, "env_id": "None"}
r,l,t
-35.196705,125,147.333697
-102.05895,480,147.333775
-121.947136,480,147.333798
-112.2824,419,148.70571
-29.455872,169,148.95742
-93.884544,382,149.001846
-65.49752,225,150.125147
-84.12137,480,150.483116
-18.676882,57,151.282341
-132.10419,480,152.621376
-24.594185,150,153.479598
-38.91251,123,156.326002
-101.468544,331,157.510238
-91.15498,348,166.528013
-93.644775,325,166.737663
-55.59039,197,166.774493
-69.349335,227,168.819285
-113.08579,353,169.428959
-36.11354,159,170.117116
-82.977875,480,170.363388
-54.60812,197,170.487888
-121.12295,440,171.424337
-39.672173,123,171.789773
-91.392784,480,174.280292
-31.203758,134,175.464275
-41.963554,165,175.46433
-85.882965,480,175.717452
-90.3682,480,176.080664
-32.498615,123,176.330514
-37.89457,181,176.752986
-38.237522,110,180.010286
-96.84579,336,180.365509
-30.011156,115,181.5297
-14.413549,31,181.695485
-76.367836,285,181.985254
-35.53515,168,183.41731
-85.569435,316,183.498314
-127.361275,477,186.076638
-41.543316,118,186.601159
-80.97193,277,193.723139
-36.93976,131,194.858816
-102.35086,375,195.893625
-114.523026,480,197.522338
-82.25695,313,199.020451
-42.245373,156,199.058319
-54.20082,182,199.580264
-124.3086,444,199.882454
-145.32115,480,201.655555
-36.638103,120,203.97248
-35.81927,143,204.948002
-65.58203,224,205.072489
-80.1774,480,207.365692
-78.158806,480,207.802996
-131.90576,480,209.19663
-66.204254,245,209.890814
-37.180874,158,210.343217
-27.534975,93,211.11555
-97.14971,359,212.213767
-76.84682,480,213.353524
-126.4657,480,220.188129
-29.129215,186,221.128131
-88.91528,344,221.401922
-30.438524,137,221.74075
-23.035822,152,221.851673
-36.754772,183,222.406537
-77.21758,305,223.113619
-74.904305,313,223.563157
-38.513058,157,224.416842
-75.05746,480,224.970562
-27.028162,93,226.197146
-60.265484,263,227.632697
-34.011925,152,227.99609
-45.67193,201,228.439277
-60.621964,218,230.085618
-79.98021,294,231.076427
-38.252705,150,231.113974
-64.31236,241,231.303619
-26.060228,90,231.661886
-63.792923,265,233.983016
-62.131493,262,234.317433
-34.978973,161,237.671201
-63.87045,254,238.045138
-115.51463,480,247.502543
