#{"t_start": 1750332916.082901, "env_id": "None"}
r,l,t
-1.827162,75,24.391102
-1.2868979,31,24.480547
0.9953997,84,24.55136
-1.3752221,33,24.570179
-6.529122,125,24.588346
-0.6376897,133,24.613641
-2.1241953,25,24.626878
-4.276196,106,24.67349
-3.4482722,92,24.692336
-2.2469084,83,30.300624
-2.9428742,68,30.409287
-0.70648754,53,30.498037
-4.790727,45,30.603816
-5.251956,166,30.695026
-2.3422425,108,30.999844
-0.61124355,142,31.210146
-2.0314114,63,31.312702
-1.4494972,71,31.47512
-3.9321547,194,31.49133
-2.9927335,87,31.597646
-3.6428535,187,31.731603
-3.1413913,72,31.771352
-2.983121,157,32.066582
-0.17290261,57,32.298126
1.19558,117,32.315389
-1.8159122,69,32.383722
0.5000453,129,32.399435
-0.6474577,124,32.451717
-0.34426287,135,32.528594
0.8565998,116,32.618376
0.4182128,146,32.677494
1.4049903,136,32.73382
1.1994501,121,32.795962
-0.9906405,43,32.811002
2.5224562,141,32.877408
-1.0454805,73,32.980567
-0.22990036,119,33.039155
-1.1177454,41,33.114973
-3.5580158,91,33.359983
-3.22046,213,33.735216
2.6017368,130,33.757406
-1.5083917,68,33.834296
-0.8593688,136,33.87634
-2.7387064,74,34.042811
-1.2839813,269,34.224207
-2.2829046,89,34.239088
0.777099,80,34.293366
1.7473855,116,34.339354
-1.4577645,80,34.446221
0.8632986,115,34.4626
-1.7466977,102,34.575777
-1.7094111,121,34.623673
0.21825536,138,34.68937
-3.245906,65,34.86742
-3.3955348,191,34.91571
-2.3259187,105,34.938375
-3.9101744,75,35.01785
-5.8401637,134,35.20414
1.0409945,127,35.258215
0.1926302,142,35.867653
0.96598035,117,35.894545
-3.7239666,213,36.162984
0.28278568,120,36.163037
-2.263732,79,36.290129
1.8630254,138,36.313408
-1.520517,100,36.389663
1.2239609,126,36.542536
-6.9691057,119,36.576961
0.6129101,134,36.621042
-6.0286226,138,36.666349
-7.837771,139,36.801696
-7.382942,119,37.028622
2.8181067,143,37.166973
-6.2471128,128,37.192428
-1.7397678,155,37.443339
2.2030408,130,37.463401
-2.9071636,84,37.633075
-2.234061,64,37.648465
-7.4505353,137,38.334195
-6.649756,127,38.41881
-3.9556441,183,38.499465
1.0287932,83,38.549815
0.8953475,125,38.634285
-1.4250952,80,38.660887
-1.6441085,115,38.660956
2.9261317,136,38.785949
1.4074821,119,38.850448
-1.7919307,164,39.242299
1.1468674,143,39.431668
3.7383935,166,45.072448
1.0462384,126,45.228149
-3.197754,313,45.527395
-3.4504168,92,45.810645
1.3856025,201,46.2491
-8.833336,338,46.474796
-3.092204,298,46.587159
-1.6788086,143,46.587217
-4.707685,200,46.629347
0.53721696,73,46.759244
-3.6871376,252,47.38154
-0.28866187,250,47.549431
-4.46013,217,47.683253
0.4058259,157,47.765449
-0.19913796,202,48.155243
-2.5198994,273,48.818538
2.704382,144,48.931491
-2.7437427,93,48.94779
3.10803,286,49.02872
-1.4725958,188,49.05198
-2.5227647,295,49.140807
-3.9978087,295,49.380326
0.1801698,328,49.479223
-6.5993648,320,49.506588
3.4221134,172,49.553655
-4.5718617,256,49.618995
0.3371201,185,49.86156
-5.996501,333,50.609403
-1.6294059,79,50.771633
-3.7716105,92,51.133279
-5.1416583,268,51.240483
2.8240688,147,51.418526
-3.1868653,175,52.050311
0.66602606,229,52.184061
-4.0164003,195,52.410486
-5.683718,277,52.550783
0.7835536,188,52.956805
-8.506945,386,53.502591
-3.8713903,329,53.521723
0.08043789,174,60.026427
3.1402948,205,60.21489
-4.710244,271,60.452574
-0.47229195,480,60.473708
-3.530751,210,60.775362
0.28453225,255,60.914953
-6.2013125,348,61.540805
-5.3938975,480,61.781355
3.0062563,214,61.797066
0.2840959,145,61.891537
15.110952,414,62.172126
-3.834885,252,62.325242
-3.5618992,418,62.325302
-9.627845,408,62.553223
0.32227778,217,63.240999
-1.1816214,480,63.349315
1.0556278,312,64.289186
3.4301138,145,64.363147
-2.5955613,258,64.794424
2.0045333,178,64.917631
2.4825418,148,64.93785
-0.50350696,292,65.235773
-4.726477,261,65.412053
-2.3780794,480,65.691884
-5.7238603,228,65.943205
-3.6493104,106,66.184518
-3.889754,326,66.244299
2.7605684,480,66.678741
-2.1868699,480,66.815102
-2.2749453,59,66.952114
1.3838295,382,67.624627
-4.2843804,412,67.670641
3.1408927,170,67.735372
-6.435122,289,68.232552
-3.8257968,203,68.481542
