#{"t_start": 1750422466.8762705, "env_id": "None"}
r,l,t
-4.295284,29,1.138645
-0.86994433,43,1.219379
-4.0470676,25,1.297844
0.56732684,81,1.46919
-0.8158991,41,1.555584
-6.28176,128,1.778287
-6.238472,125,2.082656
-5.0101924,48,2.132522
-4.241219,28,2.250219
-5.0370455,56,2.462479
-5.4768386,171,2.659117
-6.0369706,132,3.054541
-5.1721096,250,3.073189
-7.5754933,123,3.214845
-0.16667914,119,3.452576
-4.6458507,38,3.706749
-2.3330443,77,3.763768
1.9676348,117,3.867285
-4.31195,29,4.043397
-1.9892608,22,4.188642
-8.134691,196,10.039896
-6.532481,122,10.212504
-8.419551,141,10.269409
-2.9355175,71,10.508469
-4.4607754,122,10.68199
-1.1852158,65,10.97279
-3.644498,57,11.083333
-6.89676,126,11.171942
-1.6252321,24,11.251677
-3.744623,175,11.404502
-0.38108015,79,11.469834
-4.1906114,56,11.866052
-2.7508233,77,11.931885
-6.416961,114,11.99619
-2.158016,80,12.503024
-1.9482806,105,12.527891
-5.1706014,240,12.711684
-3.43199,68,12.918679
-3.630119,77,12.998399
